Ranking Ref Results: 12
Ref Solver Results:

    semSim    synSim  len_diff  ltl
        -1         1        10  G(F((f1)|(!(f3))))
        -1         1        13  G(F((f1)&(!(!(f3)))))
        -1         1       101  G(F((f1)|((!(f3))|(((f2)&((!(b1))&((!(b3))&((f1)&(f3)))))|((!(b1))&((!(b2))&((!(b3))&((!(f2))&(!(f3))))))))))
        -1         1       104  G(F((f1)&(!((!(f3))|(((f2)&((!(b1))&((!(b3))&((f1)&(f3)))))|((!(b1))&((!(b2))&((!(b3))&((!(f2))&(!(f3)))))))))))
        -1         1       158  G(F(((f1)|((!(b1))&((!(b2))&((!(b3))&((f1)&((!(f2))&(!(f3))))))))|((!(f3))|(((f2)&((!(b1))&((!(b3))&((f1)&(f3)))))|((!(b1))&((!(b2))&((!(b3))&((!(f2))&(!(f3))))))))))
        -1         1       164  G(F(((f1)&(!((!(b1))&((!(b2))&((!(b3))&((f1)&((!(f2))&(!(f3)))))))))&(!((!(f3))|(((f2)&((!(b1))&((!(b3))&((f1)&(f3)))))|((!(b1))&((!(b2))&((!(b3))&((!(f2))&(!(f3)))))))))))
        -1  0.666667         0  F(F(f1))
        -1  0.666667        57  F(F((f1)|((!(b1))&((!(b2))&((!(b3))&((f1)&((!(f2))&(!(f3)))))))))
        -1  0.333333         0  G(G(f1))
        -1  0.333333         0  G(X(f1))
        -1  0.333333        60  G(G((f1)&(!((!(b1))&((!(b2))&((!(b3))&((f1)&((!(f2))&(!(f3))))))))))
        -1  0.333333        60  G(X((f1)&(!((!(b1))&((!(b2))&((!(b3))&((f1)&((!(f2))&(!(f3))))))))))
Ranking Random Results: 99
Random Solver Results:

    semSim    synSim  len_diff  ltl
        -1  0.857143         0  !((!(((f1)&(X(f2)))|((f2)&(X(f3)))))|(X((b1)|((b2)|(b3)))))
        -1  0.857143         0  F((!(((f1)&(X(f2)))|((f2)&(X(f3)))))|(X((b1)|((b2)|(b3)))))
        -1  0.857143         0  X((!(((f1)&(X(f2)))|((f2)&(X(f3)))))|(X((b1)|((b2)|(b3)))))
        -1  0.857143         4  (b3)&((!(((f1)&(X(f2)))|((f2)&(X(f3)))))|(X((b1)|((b2)|(b3)))))
        -1  0.857143         4  (b3)R((!(((f1)&(X(f2)))|((f2)&(X(f3)))))|(X((b1)|((b2)|(b3)))))
        -1  0.857143         4  (b3)|((!(((f1)&(X(f2)))|((f2)&(X(f3)))))|(X((b1)|((b2)|(b3)))))
        -1  0.803571        11  ((!(((f1)&(X(f2)))|((f2)&(X(f3)))))|(X((b1)|((b2)|(b3)))))&((b3)U(f3))
        -1  0.803571        11  ((b3)R(b1))R((!(((f1)&(X(f2)))|((f2)&(X(f3)))))|(X((b1)|((b2)|(b3)))))
        -1  0.714286         0  !((!(((f1)&(X(f2)))|((f2)&(X(f3)))))U(X((b1)|((b2)|(b3)))))
        -1  0.714286         0  F((!(((f1)&(X(f2)))|((f2)&(X(f3)))))&((b2)&(!((b2)|(b3)))))
        -1  0.714286         4  !((!(((f1)&(X(f2)))|((f2)&(X(f3)))))|((f3)|((b1)|((b2)|(b3)))))
        -1  0.714286         4  (b3)R((!(((f1)&(X(f2)))|((f2)&(X(f3)))))&((f1)&(X((b2)&(b3)))))
        -1  0.714286         4  (b3)U((!(((f1)&(X(f2)))|((f2)&(X(f3)))))R(X((b1)|((b2)|(b3)))))
        -1  0.714286         4  G((!(((f1)&(X(f2)))|((f2)&(X(f3)))))|((f3)&((b1)|((b2)|(b3)))))
        -1  0.714286         4  X((!(((f1)&(X(f2)))|((f2)&(X(f3)))))U((f3)|((b1)|((b2)|(b3)))))
        -1  0.714286         7  !((!(((f1)&(X(f2)))|((f2)&(X(f3)))))&((!(f3))&((b1)|((b2)|(b3)))))
        -1  0.714286        15  (b3)&((!(((f1)&(X(f2)))|((f2)&(X(f3)))))R(((f1)&(b3))|((b1)|((b2)|(b3)))))
        -1  0.669643         4  G((!(((f1)&(X(f2)))|((f2)&(X(f3)))))|((f3)R(!(!(b3)))))
        -1  0.669643         4  !((!(((f1)&(X(f2)))|((f2)&(X(f3)))))U((f3)R((b1)|((b2)|(b3)))))
        -1  0.669643         4  (b3)R((!(((f1)&(X(f2)))|((f2)&(X(f3)))))R((f1)R(!((b2)|(b3)))))
        -1  0.669643         4  (b3)U((!(((f1)&(X(f2)))|((f2)&(X(f3)))))|(G((b1)|((b2)|(b3)))))
        -1  0.669643         4  X((!(((f1)&(X(f2)))|((f2)&(X(f3)))))&((f3)U((b1)&((b2)|(b3)))))
        -1  0.669643         4  X((!(((f1)&(X(f2)))|((f2)&(X(f3)))))R((b2)U((b1)|((b2)|(b3)))))
        -1  0.669643         7  (b3)&((!(((f1)&(X(f2)))|((f2)&(X(f3)))))R(G(!(((b2)&(b1))|(b3)))))
        -1  0.669643         8  (b3)&((!(((f1)&(X(f2)))|((f2)&(X(f3)))))|((f1)R((b1)|((b2)|(b3)))))
        -1  0.634921         0  (b3)&((!(((f1)&(X(f2)))|((f2)&(X(f3)))))&(F(F((b2)|(b3)))))
        -1  0.634921         0  G((!(((f1)&(X(f2)))|((f2)&(X(f3)))))|((f3)U(F((b2)|(b3)))))
        -1  0.634921         4  !((!(((f1)&(X(f2)))|((f2)&(X(f3)))))U((b2)R(G(!(b3)))))
        -1  0.634921         7  F((!(((f1)&(X(f2)))|((f2)&(X(f3)))))U((G(b2))U((b1)|((b2)|(b3)))))
        -1  0.607143         0  (b3)|((!(((f1)&(X(f2)))|((f2)&(X(f3)))))R(G(G((b2)U(b3)))))
