Ranking Ref Results: 12
Ref Solver Results:

    semSim    synSim  len_diff  ltl
        -1  0.666667         0  F(F(f1))
        -1  0.333333         0  G(G(f1))
        -1  0.333333         0  G(X(f1))
        -1      0.25        10  G(F((f1)|(!(f3))))
        -1  0.238095        13  G(F((f1)&(!(!(f3)))))
        -1  0.192982        57  F(F((f1)|((!(b1))&((!(b2))&((!(b3))&((f1)&((!(f2))&(!(f3)))))))))
        -1  0.191667        60  G(G((f1)&(!((!(b1))&((!(b2))&((!(b3))&((f1)&((!(f2))&(!(f3))))))))))
        -1  0.191667        60  G(X((f1)&(!((!(b1))&((!(b2))&((!(b3))&((f1)&((!(f2))&(!(f3))))))))))
        -1    0.1875       101  G(F((f1)|((!(f3))|(((f2)&((!(b1))&((!(b3))&((f1)&(f3)))))|((!(b1))&((!(b2))&((!(b3))&((!(f2))&(!(f3))))))))))
        -1  0.186667       104  G(F((f1)&(!((!(f3))|(((f2)&((!(b1))&((!(b3))&((f1)&(f3)))))|((!(b1))&((!(b2))&((!(b3))&((!(f2))&(!(f3)))))))))))
        -1  0.183908       158  G(F(((f1)|((!(b1))&((!(b2))&((!(b3))&((f1)&((!(f2))&(!(f3))))))))|((!(f3))|(((f2)&((!(b1))&((!(b3))&((f1)&(f3)))))|((!(b1))&((!(b2))&((!(b3))&((!(f2))&(!(f3))))))))))
        -1  0.182796       164  G(F(((f1)&(!((!(b1))&((!(b2))&((!(b3))&((f1)&((!(f2))&(!(f3)))))))))&(!((!(f3))|(((f2)&((!(b1))&((!(b3))&((f1)&(f3)))))|((!(b1))&((!(b2))&((!(b3))&((!(f2))&(!(f3)))))))))))
Ranking Random Results: 99
Random Solver Results:

    semSim    synSim  len_diff  ltl
        -1  0.941176         0  !((!(((f1)&(X(f2)))|((f2)&(X(f3)))))|(X((b1)|((b2)|(b3)))))
        -1  0.941176         0  F((!(((f1)&(X(f2)))|((f2)&(X(f3)))))|(X((b1)|((b2)|(b3)))))
        -1  0.941176         0  X((!(((f1)&(X(f2)))|((f2)&(X(f3)))))|(X((b1)|((b2)|(b3)))))
        -1  0.941176         4  (b3)&((!(((f1)&(X(f2)))|((f2)&(X(f3)))))|(X((b1)|((b2)|(b3)))))
        -1  0.941176         4  (b3)R((!(((f1)&(X(f2)))|((f2)&(X(f3)))))|(X((b1)|((b2)|(b3)))))
        -1  0.941176         4  (b3)|((!(((f1)&(X(f2)))|((f2)&(X(f3)))))|(X((b1)|((b2)|(b3)))))
        -1  0.915033        11  ((!(((f1)&(X(f2)))|((f2)&(X(f3)))))|(X((b1)|((b2)|(b3)))))&((b3)U(f3))
        -1  0.915033        11  ((b3)R(b1))R((!(((f1)&(X(f2)))|((f2)&(X(f3)))))|(X((b1)|((b2)|(b3)))))
        -1  0.882353         0  !((!(((f1)&(X(f2)))|((f2)&(X(f3)))))U(X((b1)|((b2)|(b3)))))
        -1  0.882353         4  (b3)U((!(((f1)&(X(f2)))|((f2)&(X(f3)))))R(X((b1)|((b2)|(b3)))))
        -1  0.823529         0  X((G(((f1)&(X(f2)))|((f2)&(X(f3)))))R(X((b1)|((b2)|(b3)))))
        -1  0.823529         4  !((!(((f1)&(X(f2)))|((f2)&(X(f3)))))U((f3)R((b1)|((b2)|(b3)))))
        -1  0.823529         4  !((!(((f1)&(X(f2)))|((f2)&(X(f3)))))|((f3)|((b1)|((b2)|(b3)))))
        -1  0.823529         4  (b3)R((G(((f1)&(X(f2)))|((f2)&(X(f3)))))R(X((b1)|((b2)|(b3)))))
        -1  0.823529         4  (b3)U((!(((f1)&(X(f2)))|((f2)&(X(f3)))))|(G((b1)|((b2)|(b3)))))
        -1  0.823529         4  G((!(((f1)&(X(f2)))|((f2)&(X(f3)))))|((f3)&((b1)|((b2)|(b3)))))
        -1  0.823529         4  X((!(((f1)&(X(f2)))|((f2)&(X(f3)))))R((b2)U((b1)|((b2)|(b3)))))
        -1  0.823529         4  X((!(((f1)&(X(f2)))|((f2)&(X(f3)))))U((f3)|((b1)|((b2)|(b3)))))
        -1  0.823529         4  X(((b1)R(((f1)&(X(f2)))|((f2)&(X(f3)))))R(X((b1)|((b2)|(b3)))))
        -1  0.823529         8  (b3)&((!(((f1)&(X(f2)))|((f2)&(X(f3)))))|((f1)R((b1)|((b2)|(b3)))))
        -1  0.823529         8  (b3)|(((f3)&(((f1)&(X(f2)))|((f2)&(X(f3)))))|(X((b1)|((b2)|(b3)))))
        -1  0.800654         7  !((!(((f1)&(X(f2)))|((f2)&(X(f3)))))&((!(f3))&((b1)|((b2)|(b3)))))
        -1  0.800654         7  !(((F(b1))U(((f1)&(X(f2)))|((f2)&(X(f3)))))&(X((b1)|((b2)|(b3)))))
        -1  0.800654         7  F((!(((f1)&(X(f2)))|((f2)&(X(f3)))))U((G(b2))U((b1)|((b2)|(b3)))))
        -1  0.800654        15  (b3)&((!(((f1)&(X(f2)))|((f2)&(X(f3)))))R(((f1)&(b3))|((b1)|((b2)|(b3)))))
        -1  0.764706         4  (b3)U((F(((f1)&(X(f2)))R((f2)&(X(f3)))))|(X((b1)|((b2)|(b3)))))
        -1  0.764706         4  (b3)|((!(((f1)&(X(f2)))U((f2)&(X(f3)))))R(X((b1)|((b2)|(b3)))))
        -1  0.764706         4  X((!(((f1)&(X(f2)))|((f2)&(X(f3)))))&((f3)U((b1)&((b2)|(b3)))))
        -1  0.764706         4  X((F(((f1)&(X(f2)))|((f2)&(X(f3)))))U((f3)|((b1)|((b2)|(b3)))))
