Ranking Ref Results: 44
Ref Solver Results:

    semSim    synSim  len_diff  ltl
         1      0.65        14  G((!((gm)&(g0)))|((g0)&(g1)))
         1      0.65        14  G((!((gm)&(g0)))|((g1)&(gm)))
         1  0.622222        14  G((!((gm)&(g0)))|((r0)&(g1)))
  0.500007  0.685714         7  G((!((gm)&(g0)))|(rm))
       0.5  0.685714         7  G((!((gm)&(g0)))|(r1))
       0.5       0.6        17  G((!((gm)&(g0)))|((!(g1))&(r1)))
       0.5      0.65        10  G((!((gm)&(g0)))|(!(r1)))
       0.5       0.8         0  F(!((gm)&(g0)))
       0.5  0.622222        21  G((!((gm)&(g0)))|(((g0)&(gm))|(r0)))
       0.5      0.65        10  G((!((gm)&(g0)))&(!(r1)))
       0.5  0.622222        13  G((!((gm)&(g0)))&(!(!(r1))))
       0.5       0.6        24  G((!((gm)&(g0)))&(!(((g0)&(gm))|(r0))))
       0.5  0.566667        23  G(((!((gm)&(g0)))&(!(rm)))&(!(!(r1))))
       0.5  0.553846        34  G(((!((gm)&(g0)))&(!(rm)))&(!(((g0)&(gm))|(r0))))
       0.5  0.542857        41  G(((!((gm)&(g0)))&(!((g0)&(g1))))&(!(((g0)&(gm))|(r0))))
       0.5  0.542857        41  G(((!((gm)&(g0)))&(!((g1)&(gm))))&(!(((g0)&(gm))|(r0))))
       0.5  0.542857        41  G(((!((gm)&(g0)))&(!((r0)&(g1))))&(!(((g0)&(gm))|(r0))))
       0.5     0.525        44  G(((!((gm)&(g0)))&(!((!(g1))&(r1))))&(!(((g0)&(gm))|(r0))))
       0.5  0.517647        51  G((((!((gm)&(g0)))&(!(rm)))&(!((g0)&(g1))))&(!(((g0)&(gm))|(r0))))
       0.5  0.517647        51  G((((!((gm)&(g0)))&(!(rm)))&(!((g1)&(gm))))&(!(((g0)&(gm))|(r0))))
       0.5  0.517647        51  G((((!((gm)&(g0)))&(!(rm)))&(!((r0)&(g1))))&(!(((g0)&(gm))|(r0))))
       0.5  0.517647        58  G((((!((gm)&(g0)))&(!((g0)&(g1))))&(!((g1)&(gm))))&(!(((g0)&(gm))|(r0))))
       0.5  0.517647        58  G((((!((gm)&(g0)))&(!((g0)&(g1))))&(!((r0)&(g1))))&(!(((g0)&(gm))|(r0))))
       0.5  0.517647        58  G((((!((gm)&(g0)))&(!((g1)&(gm))))&(!((r0)&(g1))))&(!(((g0)&(gm))|(r0))))
       0.5  0.505263        54  G((((!((gm)&(g0)))&(!(rm)))&(!((!(g1))&(r1))))&(!(((g0)&(gm))|(r0))))
       0.5  0.505263        61  G((((!((gm)&(g0)))&(!((g0)&(g1))))&(!((!(g1))&(r1))))&(!(((g0)&(gm))|(r0))))
       0.5  0.505263        61  G((((!((gm)&(g0)))&(!((g1)&(gm))))&(!((!(g1))&(r1))))&(!(((g0)&(gm))|(r0))))
       0.5  0.505263        61  G((((!((gm)&(g0)))&(!((r0)&(g1))))&(!((!(g1))&(r1))))&(!(((g0)&(gm))|(r0))))
       0.5       0.5        68  G(((((!((gm)&(g0)))&(!(rm)))&(!((g0)&(g1))))&(!((g1)&(gm))))&(!(((g0)&(gm))|(r0))))
       0.5       0.5        68  G(((((!((gm)&(g0)))&(!(rm)))&(!((g0)&(g1))))&(!((r0)&(g1))))&(!(((g0)&(gm))|(r0))))
       0.5       0.5        68  G(((((!((gm)&(g0)))&(!(rm)))&(!((g1)&(gm))))&(!((r0)&(g1))))&(!(((g0)&(gm))|(r0))))
       0.5       0.5        75  G(((((!((gm)&(g0)))&(!((g0)&(g1))))&(!((g1)&(gm))))&(!((r0)&(g1))))&(!(((g0)&(gm))|(r0))))
       0.5  0.490909        71  G(((((!((gm)&(g0)))&(!(rm)))&(!((g0)&(g1))))&(!((!(g1))&(r1))))&(!(((g0)&(gm))|(r0))))
       0.5  0.490909        71  G(((((!((gm)&(g0)))&(!(rm)))&(!((g1)&(gm))))&(!((!(g1))&(r1))))&(!(((g0)&(gm))|(r0))))
       0.5  0.490909        71  G(((((!((gm)&(g0)))&(!(rm)))&(!((r0)&(g1))))&(!((!(g1))&(r1))))&(!(((g0)&(gm))|(r0))))
       0.5  0.490909        78  G(((((!((gm)&(g0)))&(!((g0)&(g1))))&(!((g1)&(gm))))&(!((!(g1))&(r1))))&(!(((g0)&(gm))|(r0))))
       0.5  0.490909        78  G(((((!((gm)&(g0)))&(!((g0)&(g1))))&(!((r0)&(g1))))&(!((!(g1))&(r1))))&(!(((g0)&(gm))|(r0))))
       0.5  0.490909        78  G(((((!((gm)&(g0)))&(!((g1)&(gm))))&(!((r0)&(g1))))&(!((!(g1))&(r1))))&(!(((g0)&(gm))|(r0))))
       0.5  0.486957        85  G((((((!((gm)&(g0)))&(!(rm)))&(!((g0)&(g1))))&(!((g1)&(gm))))&(!((r0)&(g1))))&(!(((g0)&(gm))|(r0))))
       0.5      0.48        88  G((((((!((gm)&(g0)))&(!(rm)))&(!((g0)&(g1))))&(!((g1)&(gm))))&(!((!(g1))&(r1))))&(!(((g0)&(gm))|(r0))))
       0.5      0.48        88  G((((((!((gm)&(g0)))&(!(rm)))&(!((g0)&(g1))))&(!((r0)&(g1))))&(!((!(g1))&(r1))))&(!(((g0)&(gm))|(r0))))
       0.5      0.48        88  G((((((!((gm)&(g0)))&(!(rm)))&(!((g1)&(gm))))&(!((r0)&(g1))))&(!((!(g1))&(r1))))&(!(((g0)&(gm))|(r0))))
       0.5      0.48        95  G((((((!((gm)&(g0)))&(!((g0)&(g1))))&(!((g1)&(gm))))&(!((r0)&(g1))))&(!((!(g1))&(r1))))&(!(((g0)&(gm))|(r0))))
