Ranking Ref Results: 50
Ref Solver Results:

    semSim    synSim  len_diff  ltl
         1     0.875         0  G((!(g0))U((!(g1))&((!((r0)&(X(r1))))|(X(X((g0)&(g1)))))))
  0.516774  0.701705        34  G((!(g0))|(((!((r0)&(X(r1))))|(X(X((g0)&(g1)))))R((!(g1))&(!(((g0)&((g1)&(!(r1))))|(r1))))))
  0.512128  0.701705        34  G((((!((r0)&(X(r1))))|(X(X((g0)&(g1)))))R((!(g1))&(!(((g0)&((g1)&(!(r1))))|(r1)))))U(!(g0)))
  0.500806      0.75         0  G((!(g0))|(((X(X((g0)&(g1))))U(!((r0)&(X(r1)))))R(!(g1))))
  0.500806  0.539773        34  G((!(g0))|(((!((r0)&(X(r1))))|(X(X(((g0)&(g1))&(!(((g0)&((g1)&(!(r1))))|(r1)))))))R(!(g1))))
       0.5  0.539773        34  G((!(g0))|((!(g1))|((!((r0)&(X(r1))))R(X(X(((g0)&(g1))&(!(((g0)&((g1)&(!(r1))))|(r1)))))))))
       0.5      0.75         0  G(((!(g1))|((!((r0)&(X(r1))))R(X(X((g0)&(g1))))))|(!(g0)))
       0.5  0.755682        34  G(((!(g1))&((!((r0)&(X(r1))))|(X(X((g0)&(g1))))))|((!(g0))&(!(((g0)&((g1)&(!(r1))))|(r1)))))
       0.5  0.755682        34  G(((!(g1))&((!((r0)&(X(r1))))|(X(X((g0)&(g1))))))U((!(g0))&(!(((g0)&((g1)&(!(r1))))|(r1)))))
       0.5  0.539773        34  G((!(g0))|((!(g1))|((X(X(((g0)&(g1))&(!(((g0)&((g1)&(!(r1))))|(r1))))))R(!((r0)&(X(r1)))))))
       0.5  0.539773        34  G((!(g0))|((!(g1))R((!((r0)&(X(r1))))|(X(X(((g0)&(g1))&(!(((g0)&((g1)&(!(r1))))|(r1)))))))))
       0.5      0.75         0  G(((!(g1))|((X(X((g0)&(g1))))R(!((r0)&(X(r1))))))|(!(g0)))
       0.5    0.9375         0  F((!(g0))|((!(g1))&((!((r0)&(X(r1))))|(X(X((g0)&(g1)))))))
       0.5     0.875         0  G((!(g0))R((!(g1))&((!((r0)&(X(r1))))|(X(X((g0)&(g1)))))))
       0.5     0.875         0  G(((!(g1))&((!((r0)&(X(r1))))|(X(X((g0)&(g1))))))&(!(g0)))
       0.5     0.875         0  G(((!(g1))&((!((r0)&(X(r1))))|(X(X((g0)&(g1))))))R(!(g0)))
       0.5    0.8125         0  G((!(g0))|((!(g1))U((!((r0)&(X(r1))))|(X(X((g0)&(g1)))))))
       0.5  0.770833        31  G(((!(g0))|(((g0)&((g1)&(!(r1))))|(r1)))|((!(g1))&((!((r0)&(X(r1))))|(X(X((g0)&(g1)))))))
       0.5      0.75         0  G((!(g0))|((!(g1))R((X(X((g0)&(g1))))U(!((r0)&(X(r1)))))))
       0.5      0.75         0  G((!(g0))|(((!((r0)&(X(r1))))U(X(X((g0)&(g1)))))R(!(g1))))
       0.5      0.75         0  G(((!(g1))R((!((r0)&(X(r1))))U(X(X((g0)&(g1))))))U(!(g0)))
       0.5      0.75         0  G(((!(g1))|((!((r0)&(X(r1))))U(X(X((g0)&(g1))))))&(!(g0)))
       0.5      0.75         0  G(((!(g1))|((!((r0)&(X(r1))))U(X(X((g0)&(g1))))))R(!(g0)))
       0.5      0.75         0  G(((!(g1))|((X(X((g0)&(g1))))U(!((r0)&(X(r1))))))R(!(g0)))
       0.5      0.75         0  G((((!((r0)&(X(r1))))U(X(X((g0)&(g1)))))R(!(g1)))U(!(g0)))
       0.5  0.715774        31  G((!(g0))|(((!(g1))|(((g0)&((g1)&(!(r1))))|(r1)))|((!((r0)&(X(r1))))|(X(X((g0)&(g1)))))))
       0.5  0.701705        34  G((((!(g1))&(!(((g0)&((g1)&(!(r1))))|(r1))))|((!((r0)&(X(r1))))|(X(X((g0)&(g1))))))R(!(g0)))
       0.5    0.6875         0  G((!(g0))|((!(g1))|((!((r0)&(X(r1))))|(F(X((g0)&(g1)))))))
       0.5     0.625         0  G((!(g0))|((!(g1))|((!((r0)&(X(r1))))|(X(F((g0)&(g1)))))))
       0.5  0.550595        31  G((!(g0))|((!(g1))|((!((r0)&(X(r1))))|(X(X(((g0)&(g1))|(((g0)&((g1)&(!(r1))))|(r1))))))))
       0.5  0.539773        34  G(((!(g1))|((!((r0)&(X(r1))))|(X(X(((g0)&(g1))&(!(((g0)&((g1)&(!(r1))))|(r1))))))))R(!(g0)))
  0.369659      0.75         0  G((((X(X((g0)&(g1))))U(!((r0)&(X(r1)))))R(!(g1)))U(!(g0)))
  0.369659  0.539773        34  G((((!((r0)&(X(r1))))|(X(X(((g0)&(g1))&(!(((g0)&((g1)&(!(r1))))|(r1)))))))R(!(g1)))U(!(g0)))
  0.368878  0.539773        34  G(((!(g1))|((!((r0)&(X(r1))))R(X(X(((g0)&(g1))&(!(((g0)&((g1)&(!(r1))))|(r1))))))))U(!(g0)))
  0.368878      0.75         0  G(((!(g1))|((!((r0)&(X(r1))))R(X(X((g0)&(g1))))))U(!(g0)))
  0.368878  0.539773        34  G(((!(g1))|((X(X(((g0)&(g1))&(!(((g0)&((g1)&(!(r1))))|(r1))))))R(!((r0)&(X(r1))))))U(!(g0)))
  0.368878  0.539773        34  G(((!(g1))R((!((r0)&(X(r1))))|(X(X(((g0)&(g1))&(!(((g0)&((g1)&(!(r1))))|(r1))))))))U(!(g0)))
  0.368878      0.75         0  G(((!(g1))|((X(X((g0)&(g1))))R(!((r0)&(X(r1))))))U(!(g0)))
  0.368878      0.75         0  G(((!(g1))R((X(X((g0)&(g1))))U(!((r0)&(X(r1))))))U(!(g0)))
